ds,layer,dataset,method,k,acc,std,f1,n
9,L0,Asm Succ/Fail,ConceptorEnergy(α=1.0),4,0.8022222222222222,0.016329931618554516,,450
9,L5,Task ID (4-way),Full LogReg,1024,1.0,0.0,1.0,1185
9,L5,Task ID (4-way),Full Ridge,1024,1.0,0.0,,1185
9,L5,Task ID (4-way),PCA,5,0.9966244725738397,0.0016877637130801482,0.9968375266023719,1185
9,L5,Task ID (4-way),PCA,10,0.9983122362869199,0.002067079951715737,0.9988888545942777,1185
9,L5,Task ID (4-way),PCA,20,0.9983122362869199,0.002067079951715737,0.9988888545942777,1185
9,L5,Task ID (4-way),PCA,50,1.0,0.0,1.0,1185
9,L5,Task ID (4-way),PCA,100,1.0,0.0,1.0,1185
9,L5,Task ID (4-way),Random,5,0.9470042194092827,0.03062442490343039,,1185
9,L5,Task ID (4-way),Random,10,0.9856540084388186,0.005006716278208014,,1185
9,L5,Task ID (4-way),Random,20,0.9944303797468356,0.00203933265377124,,1185
9,L5,Task ID (4-way),Random,50,0.9996624472573841,0.0006751054852320415,,1185
9,L5,Task ID (4-way),Random,100,1.0,0.0,,1185
9,L5,Task ID (4-way),Conceptor,5,0.9966244725738397,0.0031575167820877114,0.9941256164678345,1185
9,L5,Task ID (4-way),Conceptor,10,1.0,0.0,1.0,1185
